Part;False;False;126;126;128;Concrete;0.0;Studs;1.0;0.505;1.005;528.871;187.5;0.01;206.25;0.0;180.0;0.0;Block
Part;True;False;163;162;165;Concrete;0.0;Studs;0.0;8.005;7.0;484.496;7.0;12.0;7.0;0.0;180.0;0.0;Block
Part;True;False;126;126;128;Concrete;0.0;Studs;0.0;0.88;0.875;529.246;188.25;0.25;208.0;0.0;180.0;0.0;Block
Part;True;False;163;162;165;Concrete;0.0;Studs;0.0;12.013;29.71;498.095;1.0;57.5;40.0;0.0;164.99099999999999;0.0;Block;Position_3 = '498.095.'
Part;True;False;163;162;165;Concrete;0.0;Studs;0.0;20.942;29.71;479.265;8.5;57.5;1.0;0.0;164.99099999999999;0.0;Block
Part;True;False;163;162;165;Concrete;0.0;Studs;0.0;19.258;29.71;500.037;1.0;57.5;40.0;0.0;164.99099999999999;0.0;Block
Part;True;False;108;108;110;Concrete;0.0;Studs;0.0;23.829;44.71;487.804;1.5;87.5;4.0;0.0;164.99099999999999;0.0;Block
Part;True;False;108;108;110;Concrete;0.0;Studs;0.0;29.941;5.414;516.005;4.75;9.0;9.0;0.0;44.99799999999999;0.0;Block
Part;True;False;88;88;89;Concrete;0.0;Studs;0.0;34.007;5.288;511.939;3.0;4.75;6.75;0.0;135.002;0.0;Wedge
Part;True;False;108;108;110;Concrete;0.0;Studs;0.0;49.829;1.412;492.406;56.75;1.0;1.25;0.0;44.99799999999999;0.0;Block
Part;True;False;88;88;89;Concrete;0.0;Studs;0.0;51.685;1.912;494.263;56.75;2.0;3.0;0.0;44.99799999999999;0.0;Block
Part;True;False;108;108;110;Concrete;0.0;Studs;0.0;53.541;1.411;496.118;56.75;1.0;1.25;0.0;44.99799999999999;0.0;Block
Part;True;False;108;108;110;Concrete;0.0;Studs;0.0;78.469;10.283;467.481;11.0;5.75;19.0;0.0;-44.99799999999999;0.0;Wedge
Part;True;False;108;108;110;Concrete;0.0;Studs;0.0;78.468;4.159;467.481;19.0;6.5;11.0;0.0;44.99799999999999;0.0;Block
